N,종목명,현재가,전일비,등락률,액면가,매출액,영업이익,PER,ROE
1077.0,삼화전자,3880.0,상승  15,+0.39%,1000.0,419.0,-50.0,-7.64,-32.47
1078.0,동양피스톤,4975.0,상승  195,+4.08%,500.0,4217.0,133.0,7.57,6.26
1079.0,남성,1807.0,상승  4,+0.22%,500.0,697.0,-61.0,-6.98,-8.91
1080.0,미래에셋 -1.5X 천연가스 선물 ETN,26150.0,"상승  1,630",+6.65%,0.0,,,,
1081.0,KODEX TDF2050액티브,12950.0,상승  80,+0.62%,0.0,,,,
1082.0,히어로즈 26-09 회사채(AA-이상)액티브,52070.0,상승  5,+0.01%,0.0,,,,
1083.0,KODEX 미국배당프리미엄액티브,10940.0,상승  125,+1.16%,0.0,,,,
1084.0,비상교육,4960.0,하락  70,-1.39%,500.0,2524.0,-58.0,-42.39,-6.53
1085.0,천일고속,45100.0,상승  150,+0.33%,5000.0,440.0,-51.0,-12.28,-21.08
1086.0,조비,12410.0,상승  50,+0.40%,5000.0,1147.0,-56.0,-10.38,-15.89
1087.0,삼정펄프,25750.0,상승  150,+0.59%,5000.0,1783.0,74.0,2.42,6.39
1088.0,한화솔루션우,24950.0,하락  450,-1.77%,5000.0,,,-5.56,
1089.0,ARIRANG 미국S&P500(H),21325.0,하락  40,-0.19%,0.0,,,,
1090.0,씨아이테크,1276.0,상승  85,+7.14%,500.0,571.0,-71.0,-10.21,-15.11
1091.0,한일철강,2390.0,상승  15,+0.63%,500.0,2163.0,49.0,-18.97,0.0
1092.0,KODEX WTI원유선물(H),15095.0,하락  230,-1.50%,0.0,,,,
1093.0,대신 S&P 인버스 2X 천연가스 선물 ETN,63345.0,"상승  5,075",+8.71%,0.0,,,,
1094.0,TIGER 미국S&P500+10%프리미엄초단기옵션,10040.0,상승  20,+0.20%,0.0,,,,
1095.0,진양폴리,6320.0,하락  40,-0.63%,500.0,545.0,40.0,16.12,11.64
1096.0,티에이치엔,3510.0,상승  15,+0.43%,500.0,5863.0,431.0,2.07,28.65
1097.0,KB 레버리지 나스닥 100 ETN,21050.0,하락  210,-0.99%,0.0,,,,
1098.0,부국증권우,21050.0,상승  50,+0.24%,5000.0,,,4.91,
1099.0,코오롱인더우,22800.0,상승  200,+0.88%,5000.0,,,19.47,
1100.0,메리츠 KAP 통안채 3개월 ETN,51865.0,보합0,0.00%,0.0,,,,
1101.0,대원화성,1508.0,하락  38,-2.46%,500.0,1222.0,-64.0,-5.15,-16.92
1102.0,대우부품,1258.0,상승  4,+0.32%,500.0,1134.0,20.0,-46.59,0.86
1103.0,오리엔트바이오,523.0,상승  4,+0.77%,500.0,288.0,15.0,26.15,-16.07
1104.0,한솔홈데코,769.0,하락  2,-0.26%,1000.0,3000.0,-21.0,-4.66,-9.72
1105.0,남광토건,6300.0,하락  50,-0.79%,5000.0,5477.0,43.0,9.4,5.44
1106.0,미래산업,2030.0,하락  35,-1.69%,500.0,217.0,-175.0,-2.15,-39.27
1107.0,우성,19900.0,하락  10,-0.05%,5000.0,6348.0,57.0,6.02,6.22
